geneId,studyLocusId,l2g_score,targetId,diseaseId,drugId,gene_symbol,biotype
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0001421,CHEMBL4298055,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0000400,CHEMBL4298055,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0003060,CHEMBL413376,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,MONDO_0008315,CHEMBL265502,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0003060,CHEMBL265502,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0000182,CHEMBL4297163,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0003060,CHEMBL413376,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0003095,CHEMBL4297578,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0003060,CHEMBL4297163,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0000400,CHEMBL4298055,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0003060,CHEMBL4297163,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0000400,CHEMBL4298055,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0003756,CHEMBL265502,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0003756,CHEMBL413376,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,MONDO_0007254,CHEMBL413376,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0000400,CHEMBL4298055,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0003060,CHEMBL413376,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,MONDO_0005148,CHEMBL4297578,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0003060,CHEMBL265502,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0000400,CHEMBL4298055,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,HP_0001919,CHEMBL265502,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0000400,CHEMBL4298055,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0003095,CHEMBL4297909,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,MONDO_0007254,CHEMBL413376,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0003095,CHEMBL4297909,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,MONDO_0007254,CHEMBL265502,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,MONDO_0008315,CHEMBL413376,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0003060,CHEMBL265502,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0003060,CHEMBL4297163,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0003060,CHEMBL265502,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0004268,CHEMBL4298055,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0000182,CHEMBL4297163,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,MONDO_0007254,CHEMBL265502,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,HP_0002019,CHEMBL4298055,FGF1,protein_coding
ENSG00000113578,4932d76f08996772aafd8743a1b34984,0.9999979034858049,ENSG00000113578,EFO_0000182,CHEMBL4297163,FGF1,protein_coding
