leftStudyLocusId,rightStudyLocusId,studyId,h4
8a76144dfd841893984c1356bf399cfe,6b60e7bef3f711be842792e06c50f8b5,GCST004606,0.8285809518980387
8a78233dbe29caedf80666da8205acac,7dcad6de65c0037cbb3c1e0b0e32bd19,GCST90479717,0.9984255726956199
8a7d4efeaf1ffee151897cf936f8ac51,00f0c8fd2e752a9d3aa662660e035e25,GCST90476431,0.7332948483261432
8a7d4efeaf1ffee151897cf936f8ac51,6f6bccf372ecf03b6ca37ccbfe50e0cf,GCST90476431,0.9384792376101562
8a7e211fc1e500fb45c55985ec1c7995,10a756dc133204c22fa00a61ac8239ce,GCST90132746,0.998440674581941
8a7e211fc1e500fb45c55985ec1c7995,11110d408e119deeaa82fd5b061cfb80,GCST90132746,0.998440674581941
8a7e211fc1e500fb45c55985ec1c7995,22f00ba3271bf9d87ed84679b88e9a2c,GCST90132746,0.998440674581941
8a7e211fc1e500fb45c55985ec1c7995,3cbdcecaed81b04572f591a3c319200e,GCST90132746,0.9954226736965309
8a808e4844f83620be61d36b30dcd4d0,91cc97142802c5a441488237cd3e4ccb,GCST90301976,0.9897902707491051
8a8260f261e93bee5851d473dc125b16,325ff238a50b644be649439697e7fd6f,GCST002783,0.9806439920403585
8a877ed72d0e31ce81b7afcfefd16752,1bb0f895f16451a1ca91fc79342e2dea,GCST90002304,0.9705828711491696
8a87c9660d7efbcbebb9909d6790fc6d,79f43f9afda26f363cfed82fb077bf31,GCST90013982,0.004129884527085682
8a889b79155b3b4955257c72eaf245b8,98fbae6b6161b05a8bcefc2eafceba85,GCST90002382,0.8932723531951208
8a8971dd0bef80a14e8f184f48d50dc6,317a8db45506deb9566fed720a733053,GCST90445889,1.0
8a899422aa7a9a1ac63fedbc03e1400b,d04ea2668a58737386267d2ad4799529,GCST90092953,0.08475589115671747
8a8a44a11e7c5e95b3549f9fc2a88b4b,cc696090a3d580d238e871edcfd656c2,GCST90018965,0.9297104733149828
8a8dd425c8afb5104b8e53918d5b5b10,7668f7ac0d600ceb8009089a4414600a,GCST90445985,1.0
8a8f7e146b8165afb161813a27a9d9dc,183692a2cfe0d24e445be6063bc18b16,GCST90013996,0.5863573201968225
8a908d3323107a08ef4f7fe0930ca82e,2c90d04ab2972497d5de096f683faffa,GCST90092985,0.9966769589598148
8a909d11cf5e858d49bbe2ec9c61d072,4c139384ad6d7585273c318f68cb29c8,GCST90445939,1.0
8a9487610bc7a27f745ff06b45fbab73,175e3384bd28487b33e31f1b8783c642,GCST90093022,0.98551237557745
8a94cc55437da98a37de2b4a36cf7898,5a9babba304939b4dd0b241b3423d6f5,GCST90092998,0.9971886079838669
8a95b188de2db1e167b41a5c0265642f,5e0fbc13b50b7744311dbc52d9d6e6ec,GCST90319193,0.9228415189643664
8a9b99018609c9c15e2b984a20463730,80ecd6754ebb9d1a26b75fb63f00c467,GCST90302161,0.9938147113513168
8a9c5bd0a84259a6af86a749731da9cd,7d1474ec6624f032fe8e27071c44daa1,GCST90018814,0.935330494793714
8a9cf9ef7c9a1f8dcebd620a52be518c,49e3881986fb625c869d19c5b5c99378,GCST90302088,0.9999999240352964
8a9ea23ebef39984c3f40f859fdee992,2e97e62764224f857ac438bc8f1645f7,GCST90024915,0.9925285842454381
8aa1e62bb8948f28c0db9ef066a1cbd0,4ed214be805e56721f0ac7aeb902905f,GCST90092966,0.9988779002830752
8aaae5626efbe9d89e4a61d1519eb3b2,5bc05ce5147e34aebbd5c47e3ae0cae9,GCST90013986,0.9987673839245115
8aaef293fb8da88eaecadcf99da694e2,a67f8f587114990678982fad3607f39d,GCST90092958,0.9206380921806802
8ab038fecaaf076cf4c490a743ab7c9a,8954911216d97bec1e1e9a8c13587ff9,GCST90092906,0.8504285726622048
8ab05ddac21c34972fb71593ed62f5d4,0487c7a8f937319eca01f68bd470e3ed,GCST90479510,0.9979970846592817
8ab2700a672e1c4316c9f33ff5f2775f,557a8d5a4bb390d461565d2150b6e616,GCST90092967,1.0
8ab301d9ddf7c5f703538a98385bfc05,5c7e1f7e458029c798f55a23583351be,GCST90446009,0.9805593026347645
8ac0314fb81d2cebe428441c97f98524,710f16fdfa58ba8cdbc72bb14c6b7d13,GCST90319607,0.9891201841031959
8ac0314fb81d2cebe428441c97f98524,876088caaaca512c6e617fbfc3c555f9,GCST90319607,0.993744634262651
8ac1e991328cbb7a016dd5f498390b34,74a718a8d4935dbebba7570bf76d6c2e,GCST90018767,0.9977696837928152
8ac71c6fa26dbf0911f84eff32d46ffc,1558381bb13a1c99b36e4206c605b7fa,GCST90093032,0.00973651418201957
8ac92592abdd897d4961aa96cad060b3,27c23972eff8f08400fbc81a7b87ec0f,GCST90475331,0.9225248040547677
8ac93ffe6f3520cdc0fe58c18d7d0f32,b64c37f50bd8de9fbcb791de903d5b10,GCST90002405,0.9579952266840067
8ace399c79cb753155efea6d675615a0,8a97b4a5b603eae43544e46ce4fac5a5,GCST90319906,0.986572295249125
8ad09a220819c178af52de49e9056888,591119957ffc859b8b97495965c9485e,GCST90278644,0.9539283396811237
8ad0e2681930d3222d35a2d13afab043,85eda97239e879c5aba526bdc6a6d706,GCST90302039,1.0
8ad26263c6fbd2e6166629ae754234c0,256abd36a57e1644938fae2ecdc983b6,GCST90269690,0.9823429424666352
8ad2be0fc63774a3cafaf84f8c2fdd36,876839448a64c99cc7aa0e122e2c0480,GCST90479673,0.9982446502214815
8ad364994313314269c3bcfbd5c287f0,75bae2c2a9315d9fbafaa595a1c1cfc7,GCST90278653,0.7244520112882022
8ad6054bdcb5615c98f761800bc6ef32,38e7450d68d9db62ac09bc57a6995e2a,GCST90014021,0.768002726135887
8ad8adc6cc337fdae98cef40af78ab09,1f5a51dff26f9892c3ef8909faebb28b,GCST90387817,0.9783100332665156
8ad8adc6cc337fdae98cef40af78ab09,54eb0b5b663c7a52029bee887e09467f,GCST90387817,0.9979312916253869
8adab9ce20269eb698d40b7433cf9e2a,080b23789912840cc51d744054a3abfd,GCST90472777,0.050569035869652404
8adab9ce20269eb698d40b7433cf9e2a,28a17440aa60c6832ab4f7373305637d,GCST90472777,0.1068637205126775
8adfc835ed2e3e8a837ab540610f63a8,c57d632aee67f0f53c1896e9119b977f,GCST90445967,0.8868523405529628
8ae08203ce60c4f7c29f6cb96bba2132,4a0e020ad002b2d74c89be907fe0dc02,GCST90302168,0.9511378084990881
8ae18066ab224e02db0042501599f9ec,07016e0eec90d15abb16f3ef7e44aa44,GCST90301980,0.999938152437466
8ae1b6ce8f7b20a34e9919938c8960d0,172f665a42a5d64faff5f9850617494e,GCST90302068,0.9999980810513955
8ae35007c241d968d4b295ec6cb0f2a5,47ceff4cf3a8bf7a6a4b55a1640489bb,GCST90445928,0.9655517198272687
8ae6f1053e090fbd4f91b1d394e1323b,7d72f03c23d09052db674696deee46e4,GCST004622,0.9823319224099178
8ae79e9d461c8c2cc2e7ca6d4e3c0e1d,88e93d7e1618b737bd82570cbe69ce99,GCST90269655,0.9923898364618868
8ae7f245f0b542bde6c3163671cfc02f,6b8e1c5984f3e273ea8d5dbdf898e89e,GCST90093046,0.9903662385728701
8ae9a3fc715d7a365056bc65798cd3a8,69fdb290cc01550a344e100929e4a8fe,GCST90003912,0.9867747195994678
8aecbd30e23d604ad6f72e36054d5f34,390ae8209799a7838ecbbb17e32907e3,GCST90269622,0.9997948372423854
8af088a283060efa12f659cc3ccb7d8f,70eef9c56ca3a459a9627b741bb76681,GCST90302048,0.9910136645829314
8af294660431ddf762ce9909b229556f,d1dbc127dc3825526fcd8e45aa7c4f2d,GCST90002717,0.9928267588594013
8af4d823cc7eda45c8695999a12f7745,d34850a5857d9da83a6ab13095ce7632,GCST90301993,0.9436677436341087
8af69ee7658703aeb1169fe6c5e5d716,d490e7b03aa395c75c8fde5d7740d628,GCST90446019,0.711481771939614
8afa6b16616c96f50f72a729c218751e,75b158690382e9e156c8973de2fb58b8,GCST90479514,1.0
8afa97aec682814d0dbfcf46c37eff96,29d4112ad037f6ee4ef5ff06e5e486e7,GCST90002398,0.7740569495904189
8afb56ebb425e5eed5ab4e0ab62875f0,67854223035cbb3de829461fc2f0eab2,GCST90319608,0.994996548235817
8afbb9ac81dbe1876889d380ba681cf0,565228ed387453922006a2c9a8c8515f,GCST90092852,0.589538151013879
8afd5ad744a913710c23437850b0464b,300a0bdfd9b4c0a85a83bd4a5859af61,GCST90387524,0.34751114520632825
8afd5ad744a913710c23437850b0464b,c4423d2c0da3030c249673bad13a7776,GCST90387524,0.33196374660810324
8afd5ad744a913710c23437850b0464b,d1049fc5799df567250d4c9c916162f2,GCST90387524,0.534878398725287
8afdf0b08a48c48810fdefa1a1559d8e,39a1c95841459dd4797e69043255a1c7,GCST90269627,0.9977851654998808
8b039278b30f12ba5d3e531cd5736470,1313db155e55b0bc75ff5364d989e6e2,GCST90269550,0.9990126935542318
8b046bbb84e97f9d0bf94cb1d5b98952,78909aec71a97b3ca5ce82cb34d16836,GCST90014020,0.6511559176286515
8b09fa24aab3e9f55cc227b50037e122,4f58a9414b5f99fdacc05df1b286223e,GCST90302138,0.837426737560878
8b0b5b9f59c1b80ed52338dae5e8a3bc,835730788b939059c340b9e9eb48bc1b,GCST90239663,0.9931645093857263
8b0e2eb7dbb12d390ad7bcc9c1b66a1c,ba402869a606a478100ecf0f58fd3bdd,GCST90043616,0.9474109969225663
8b0ff3028a628b0ea1ce7dfe2ff8f84b,534a4413c0203206e924879fd9ce28e9,GCST90013991,0.9388623583270594
8b1140fe979c9c6393ae0febc1d35869,97efe74218bcfc0eb021fccc56143862,GCST90092901,0.9487387548727828
8b12ca2fdc64d4f06c79152877e35cd2,25154a862702a36d59df66f352c47c06,GCST90480650,0.930261768351352
8b13c2dc9895ce560fba03e6c5fcbb9e,0550f09ff0926b75068be5086e89e1bd,GCST90445919,1.0
8b14518d4d3f5be082c8677594351c14,51f555ce4c7f77d73165b1563f9f68d6,GCST90388285,0.9999936857296142
8b15f6578c9382317332d459c447ca8d,3ed502e121d06c5f94d584ad5da72dd2,GCST90475124,0.8686437706446899
8b15f6578c9382317332d459c447ca8d,afcda53f41f6e89b7c39c410a1d2d03d,GCST90475124,0.5023902233808407
8b1633c90a613ef75be708d431029dcc,0e15ac9db0233cdb3bf3871a158bd258,GCST90092809,1.0
8b16bb948bfa6b12194a155a0b766925,5c556910c3ffd3e681a1d6e99e4cdc27,GCST90092922,1.0
8b16bb948bfa6b12194a155a0b766925,5cbf8608704226a067198572ef16111d,GCST90092922,1.0
8b17550f6a138f5676bad125c7d80fdf,6772deccaf4f678a647e81d30d1b8e59,GCST90301983,0.979986921657677
8b184ce739d297395e963ecc1df8b40a,5b533cddfdf111f495b8dcb09c745c3a,GCST90003420,0.18818842095849814
8b184ce739d297395e963ecc1df8b40a,73f7b01cde88eddba11ce6ef0b35eb65,GCST90003420,0.23497102056593358
8b184ce739d297395e963ecc1df8b40a,a367fe9ecf9f784574a2525bac6662c9,GCST90003420,0.22872311521958502
8b1c876a3ee21515eeb585ec98005635,883fa6e93b6a5b2158f008541d22e716,GCST90092858,1.0
8b1ed79a137ee87528de72803b1af115,3f25a49e871d8500505863305dd79e3d,GCST90428446,0.20621342553509428
8b1f4efa729d0d5366a31e6c73b70ee7,80be25e2c5da91ca161a3a81362ef1f8,GCST90446061,0.9647372847640453
8b22580302ec9e7384b58feffa487bb6,51e4873217c2ec812807ba12a16969a7,GCST90013980,0.6868737042244543
8b2361a4f209cbf2f0efc4c5f4382144,03e66e7de85e4c4119d87d25eacd6373,GCST90014022,0.9589862280780224
8b2361a4f209cbf2f0efc4c5f4382144,785b4ac32f280f8756e1b9fde3011ed7,GCST90014022,0.8802277297972071
8b27e0ca908b7b700e4b419d9d5aa4d6,324e205cde3c5b76fa8e79cff1617a61,GCST90479706,0.9803887849848493
8b29c64f9ac5d9c42022d03088e17c7d,a050ad2b8fe4226f0c478c59d8ab7905,GCST90041881,0.9075997234823323
8b2c1c785cd594cf5d83fd4a367b1f8f,ad2dcce870c8bf8e50ac84f2b6dafe83,GCST90384776,0.929309913349954
8b2d078db58286de4d33e2286e3e381b,167b292c605efb7cf4c95a0e93b92cc5,GCST90004342,0.9998293120515793
8b2f3ca0f0e497ee66ef27ca745a4265,1b56faaad6f5997d250ade6144e13ef2,GCST90384498,0.9727275979261744
8b324b7ea2a8cd1375912bb23494974d,3a6b7763e074cf074fd968882b65f745,GCST90479929,0.6381458391963357
8b3494f2fc4a1e30c4f8e49ace143c8a,50f4c91ffede12b6ef47bddeba83c8bc,GCST90092953,0.997441704063928
8b37db4bc57662654d3c16b6567cc0ed,3c74182823563b36dd6e46a008eef617,GCST90319622,0.9903358387665342
8b38afc55b438a5266128ad455b55f4d,c28884fad1af6fb694b599f5d1dfabb0,GCST90445968,0.8210432554283386
8b3a3ba6489ff3faedde741b690e881d,4e776420fcd453991626231e208f40d8,GCST90018969,0.9898377192023728
8b3a57ef350276a29d3f3988b1887697,606082722c88fcfe21e057815c28b65e,GCST90446060,0.9206213063800169
8b3b73a74e61eb8ac3f4008cffecd3ed,11dbec44897ec51f55fb0237e80617d9,GCST90014020,0.7937579219328699
8b432207b4d97550bd1cdc744b70bfb9,4aa94e8e53893a4e669245673856d3ca,GCST90092866,0.8749553669663683
8b439f0591309b252a837d8ffc75d69f,26426f0e9b4f803541f78d2f07177e2b,FINNGEN_R12_C3_CANCER_EXALLC,0.9998988078369938
8b4405289b09fa043224f7bf72658c5c,13903b4823ff013c61761266fd578c2e,GCST90018962,0.871509597435468
8b44296be6a4ea6d470d2cebada8dfd4,710c7b685368dafb17cc8bf883d6615f,GCST90002386,0.8975085328784418
8b453e835ff298100259bce5530b29c2,dbd6724b872c483f8407fe93781adaf2,GCST90013992,0.36000424966642564
8b48c9eaf84fcf00780c2d64faeee903,7de63adc1a7c8669ddd3f9043c6024a1,GCST90479631,0.9281981414282855
8b4a569ae753c85259981f9d9c765986,22ce4e8333421ce768ef204f2142f818,GCST90479661,0.9988659554469274
8b4cfb9704dbf0e6f8e852933bca7ab2,6d421bd21f66c4e27788dd4289fc328c,FINNGEN_R12_C3_BASAL_CELL_CARCINOMA_EXALLC,0.9407009217095874
8b4d182d79edefecdf2ffa5cd03d4940,acc11162e12079f2cf05636c7f947dff,GCST90019506,0.9991318052014018
8b4fb8d6de8d4f9701b7bed8c17c2110,259303bb8fa76235b69d078280ee99ad,GCST90025308,0.971524246958668
8b4fb8d6de8d4f9701b7bed8c17c2110,25e9d4e2f9e3f81c2586abf568b2afae,GCST90025308,0.9188429486558177
8b5104eb6896441fc916feb0397a055b,50d0c6140a1a5e39785e28bb407d2fa0,GCST90239664,0.9846093900679749
8b543d27e890c1d938e39328653cae50,4ce45bd847bece2d053804aa22f61b2e,GCST90013870,0.7042655881395031
8b5449e8e870c4f509101d374fd4bcf4,7c1446ad925fd1a3e61f52de070f4f69,GCST90319651,0.9963296512954578
8b55267b18900e2c07597ea5fb7d37fb,d60cbdf64f1da7cc41c09fe18605ed16,GCST90475150,0.7863767418149306
8b55dd2349aa176240963dfae096f2c2,4239475bfe98bf0437c04aa677d9c4db,GCST90269660,1.0
8b5addd7edb3883ee57800834fe6311f,915febc223ec20eff791b3079475e0ff,GCST90014004,0.9954723581691414
8b5c899c9a52af84381b073ad361abbb,013ea4483ec198f53d1295a99df6ea90,GCST90004173,0.1684677103938016
8b5c899c9a52af84381b073ad361abbb,684cb8fc0015314cb5068db6df379cb8,GCST90004173,0.2835753400711194
8b5c899c9a52af84381b073ad361abbb,776ef92ebd84705d1ade829b29d044d7,GCST90004173,0.25776070989114047
8b5c899c9a52af84381b073ad361abbb,a962c5d2d36a89cf05872885b8f2401a,GCST90004173,0.031885209062061576
8b5c899c9a52af84381b073ad361abbb,b9894b808534a1f15b3c2cbd3b39ec36,GCST90004173,0.2089683335065331
8b5d6d1b16a2432db9e0d9a8138975de,24dad73271d78a47ff4aceb0cc989a75,GCST90094778,0.9784706423471967
8b5e03dfe357a2cc35decb4fb76882e0,7f28008472d938756f570e47a720342a,GCST90104006,1.0
8b5e03dfe357a2cc35decb4fb76882e0,879e5601f4b61a8e20f2450327fd1683,GCST90104006,1.0
8b5f0cec587e49314b6b747fdacb90ad,728dc588c3a5cae3ac13f8ad75640faa,GCST90267928,0.4160637094979132
8b5f6148619e6960b583787f6c36db79,28fec562b51ef46234dd716c2d362a1c,GCST90475376,0.9540448175116535
8b5f6148619e6960b583787f6c36db79,2971d13b1bc514fc9d22f13d163bfb2b,GCST90475376,0.9698552628043537
8b66b5b03a169421857ad34682c34628,191281b5cdbeb7f2c9dab3d23218fc5b,GCST90269710,0.7029483140540393
8b67fed0c78327b7f798d01dd6f6a00b,68b703de297d65823f6f00420f1c9c0d,GCST90013932,1.0
8b6916a3c8538c46724e429bc273c0c5,2aae369ce77a12e6819e26c994bd6c1b,GCST90475474,0.9659355694030894
8b6ac22e6fb5c7218eab3c231dedf949,12506a9530c9b437b933e7a5f58da66c,GCST90014015,0.9922968439510502
8b6d00635bfec08f26c79ff44255cad6,00f3eefa05b7f3a98fabae988877d901,GCST90092889,0.99866750044534
8b6d079c01dff3f2068fd29acf69d1f7,5a51ff92d3ac0d04ae44eb102e953443,GCST90200127,0.9467083736333686
8b6d606cf714cbef9d1658b60bf95647,07f320de9364fdc0b1dde7dace3f4e55,GCST90435263,0.2214429969293793
8b6d606cf714cbef9d1658b60bf95647,2774872f45f07412998445e9b9a8acd7,GCST90435263,0.2333669736629219
8b6d606cf714cbef9d1658b60bf95647,9c1a6a5e7cb037bbe201b858fdf45e32,GCST90435263,0.24388725043108977
8b6d606cf714cbef9d1658b60bf95647,e1684efb7d66624499f8226bce251fee,GCST90435263,0.2413486432125635
8b6e1ff504ab03af145cbbff4fbab077,5a9e1debb4b3fa1eaacba13d920681b5,GCST90309353,0.970852618427529
8b702f00a6d664d58192db962e266088,c7175bf2833597e07b4e77bed69c035b,GCST90092831,0.9786216845593511
8b7939b3d4361569c9ddc82549791f15,5b105d54de5d9125f690b10063898d4a,GCST90445893,0.9731284262137048
8b79966ce612f6e91dd16d30e12c5ba9,108e794034460ff6fe9a87e02385590e,GCST90092879,0.9999970624415883
8b79966ce612f6e91dd16d30e12c5ba9,27ea1b8d635fb766aeab736856836cab,GCST90092879,0.9999970115470657
8b7a079a341ef9f8ffe4a67581bef092,04204dfeae238f91c9a28734f4b5907a,GCST90302129,0.9910254707311853
8b7a079a341ef9f8ffe4a67581bef092,1c8c1ed06c427a9e1b2fd17b39c3c5f0,GCST90302129,0.9997735073249855
8b7a079a341ef9f8ffe4a67581bef092,580b183eb4f029789a0eae41d8546ee5,GCST90302129,0.9850539867503307
8b7ce21f6d2b0c68814ff272804c681e,4dd848d13228ecb066c25daf09c11cfd,GCST90019507,0.9985951521944151
8b7d77e915c866983dd4c504dfe1c491,73b6c02f782f8d3b920d73298e1bcbc2,GCST90269519,0.977524343257781
8b7d77e915c866983dd4c504dfe1c491,7573fba565f8bfb9e38c0bf3389abf0d,GCST90269519,0.6716230187148424
8b81040181c4f84b5eb7f10822afb80d,0c9ec92986657661c65d0ea72a7f0d9f,GCST90269521,0.999999999466894
8b8201ef149b027630676893027ddff3,f850339de95a3086fcdbbabd1fcea43c,GCST90309345,0.848308626963273
8b8363d58a560c5ccdf52545c0b01be8,622b0a7f3a827c45a630b30ba9f58881,GCST90302046,0.9931873800215538
8b887d52ff305f512f8e1fb96e48d37c,890f339290cacbb34f6adf54330dbff1,GCST004604,0.9450477021197072
8b8b007cfa5b9d897491a2896b8adb3e,076bc79883a324dced747421230200c4,GCST90444488,0.2877589021116631
8b8c64db3744c127d385cbd693dc8132,88c9b1cd2839533169b5debf6b5ef518,GCST90200045,0.9983959147169653
8b8e74ffafe261bcbadefe8afbfd998f,21f21c4dacbd9398977e922f442e7c21,GCST90002304,0.9868038842135559
8b9022df146a5dafe4e24acfa49b3d7c,87fd61fa0f85f7368bb39d792e45f9a8,GCST90446095,0.9716247331995211
8b917a6aa408d6f674aa1e0e0402a1be,6b0277c623d3af1d07a211f416e40651,GCST90041787,0.8359189097634236
8b92cb7d69e337c282aba2e52770eeb9,52a60f73062610cb77cd4243ff69805b,GCST90092983,0.9912216117388248
8b976b8dda6c8702f9ae5f8aa8eea7da,356b63068d0cb082dd606e2ee8c422b3,GCST90270118,0.9683580465438172
8b999d1c18c6269112690e0f54a4d61d,7add38d7ead7444a0ef0b801559f8c0a,GCST90446003,1.0
8b9a07911681f35c58993a2546fd03f9,79c9f4458a63fe9038875f036ea1b394,GCST90013991,0.9933166851903015
8b9ab9c1cde2f70fdaeb4ab7caf0a0fb,5982e330db61d9e29e9d9d085dd65d2a,GCST90092977,0.844213031351935
8b9ab9c1cde2f70fdaeb4ab7caf0a0fb,663d199a6129419477cf2064ef65886d,GCST90092977,0.8555549812373434
8b9ab9c1cde2f70fdaeb4ab7caf0a0fb,ed2140d37cb33c0e594daa54c2ee64c9,GCST90092977,0.8107545685880845
8ba0093b57f4abefa7edb9ec6b814840,7e62108a9cc1419ef8a41c53f7671a40,GCST90019524,0.4479883277857017
8ba059db80ba96e65da4f60c85a590a1,1507186c603793d15269123f0df1ed2d,GCST90435755,0.4063534611148403
8ba10ff79392fec6624a85b6f1c5260b,687e9fb8d7873dd995293ae09af555d7,GCST90002374,0.99019132322723
8ba26f3e72805d43bac1c44683d31bcd,3cf22cd282f71c3d1ffba05297e27ae2,GCST90018960,0.9243527155112894
8ba3768bc2dacef1a094e4cf9cbb7b6b,abd004a6cda97751803d783004d8f143,GCST90002442,0.690911699140419
8ba3768bc2dacef1a094e4cf9cbb7b6b,c113e1b8c2c2459e991fd3914f90d0c5,GCST90002442,0.751113071831514
8ba50b2943cfcad25fba4abf3fda6215,1f7387af4e2d1b320dbdb57d1bf3ac4f,GCST90302108,1.0
8ba8fd6e3b7c1bda06cc4600318c1fd8,22c0a3a51e1084b084e983697db6c723,GCST90002383,0.9024432043163976
8ba96024a7cd8dad6ba0642e00fdab20,44fa814e53a8588e6ad201fb7454d737,GCST90269639,0.9890195481014172
8badc2829622dce61843a14132bfceda,1b900688483c4df22dd7bd632ddced02,GCST90025771,0.9980531153629246
8bae8dca85720394985ec7a00271b43c,4734414e0746822b0bdc832360ee6c4f,GCST90475165,0.9414852317330437
8baeb5eda60ad0f02e68d4a4efdad4ea,1e8a66af05bc9ed4023231f6416193e8,GCST90041798,0.2406377912714774
8baeb5eda60ad0f02e68d4a4efdad4ea,2a4e22830ac91765f38acd86b530d5a1,GCST90041798,0.2016527867255394
8baeb5eda60ad0f02e68d4a4efdad4ea,6a80649ae00094cc5c115ea5ac0032b8,GCST90041798,0.22713122760725518
8bafa795734ce4eb73b8ebc2124e4614,e36f7b2907ba8278555eb1b90b738ef8,GCST90018749,0.9129610082456459
8bb0274339fc5dbf202e1dc5cc7061d1,095a5b74d52c43ed390f1fb1f7537170,GCST90475280,0.7630070398343091
8bb0274339fc5dbf202e1dc5cc7061d1,a7951abaf77d4fd1f5f5e413b62515a0,GCST90475280,0.1997232914266069
8bb11f326baea557957f45445aac6ac6,49affbe0111d43b29926b6501861764a,GCST90319652,0.9710659795756571
8bb19ccb3ae52b03fcf89d6f4d142f9d,0514bf03cf4fe517b441a0f4ac5dd6ec,GCST90013983,0.9987020890930975
